File,Width,Height,Mode,Format,Size,Author,Device,Exposure
./images_from_usb/grinder_cut.bmp,429,415,RGBA,BMP,712278,,,,[]
./images_from_usb/grinder_good.bmp,429,415,RGBA,BMP,712278,,,,[]
./images_from_usb/lab5a.jpg,800,534,L,JPEG,54649,,,,[]
./images_from_usb/lena.gif,512,512,P,GIF,242648,,,,['person']
./images_from_usb/Lenna.png,512,512,RGB,PNG,473831,,,,['person']
./images_from_usb/syntetic_img.jpg,140,140,RGB,JPEG,7180,,,,[]
./images_from_usb/wzor.jpg,225,238,RGB,JPEG,14786,,,,[]
./images_from_usb/3.PNG,896,127,RGBA,PNG,4249,,,,[]
./images_from_usb/4.PNG,696,435,RGBA,PNG,21920,,,,[]
./images_from_usb/453.PNG,756,704,RGBA,PNG,40084,,,,[]
./images_from_usb/Przechwytywanie.PNG,705,463,RGBA,PNG,16536,,,,[]
./images_from_usb/Przechwytywanie1.PNG,856,452,RGBA,PNG,20494,,,,[]
./images_from_usb/Przechwytywanie2.PNG,891,143,RGBA,PNG,5780,,,,[]
./images_from_usb/Zrzut ekranu 2023-12-18 115427.png,1920,1080,RGBA,PNG,652068,,,,[]
./images_from_usb/Zrzut ekranu 2023-12-18 133647.png,541,313,RGBA,PNG,53120,,,,['clock']
./images_from_usb/Reconyx_HC500_Hyperfire.jpg,2048,1536,RGB,JPEG,425890,,,37/2040,[]
./images_from_usb/HMD_Nokia_8.3_5G_hdr.jpg,4608,3456,RGB,JPEG,5168013,,Nokia 8.3 5G,8333/500000,[]
./images_from_usb/Canon_40D_photoshop_import.jpg,100,77,RGB,JPEG,9686,,,,[]
./images_from_usb/Kodak_CX7530.jpg,100,78,RGB,JPEG,5958,,KODAK CX7530 ZOOM DIGITAL CAMERA,1/250,[]
./images_from_usb/Canon_PowerShot_S40.jpg,480,360,RGB,JPEG,32764,,Canon PowerShot S40,1/500,['vase']
./images_from_usb/grinder_cut.bmp,429,415,RGBA,BMP,712278,,,,[]
./images_from_usb/grinder_good.bmp,429,415,RGBA,BMP,712278,,,,[]
./images_from_usb/lab5a.jpg,800,534,L,JPEG,54649,,,,[]
./images_from_usb/lena.gif,512,512,P,GIF,242648,,,,['person']
